agent_id,start_pos,path
0,A5078,"['A5078', 'A5077', 'A5004', 'A5003', 'A5001', 'A5001A', 'A5000', 'A4195', 'A4191', 'A4190', 'A4189', 'A4113', 'A4112', 'A4127', 'A4002', 'A4001', 'A4000', 'A4000A', 'AN-1861', 'N-3345', 'AN-1861', 'A4000A', 'A4000', 'A4001', 'A4002', 'A4127', 'A4112', 'A4113', 'A4189', 'A4190', 'A4191', 'A4195', 'A5000', 'A5001A', 'A5001', 'A5003', 'A5004', 'A5006', 'A5008', 'A5009', 'A5010', 'A5012', 'N-0473', 'A5012', 'A5010', 'A5011', 'A5013', 'N-0472', 'A5013', 'A5011', 'A5014', 'A5015', 'A5016', 'A5017', 'N-0463', 'A5017', 'A5016', 'A5020', 'A5019', 'A5018', 'A5054', 'A5053', 'N-0483', 'N-0482', 'A5050', 'N-0465', 'A5050', 'A5049', 'A5048', 'A5036', 'A5026', 'A5025', 'A5024', 'A5040', 'A5038', 'A5037', 'A5041', 'A5042', 'N-0468', 'A5042', 'A5041', 'A5043', 'A5044', 'N-0469', 'A5044', 'A5043', 'A5041', 'A5037', 'A5036', 'A5048', 'A5049', 'A5050', 'A5051', 'N-0467', 'A5051', 'A5050', 'N-0482', 'A5052', 'A5053', 'A5054']"
1,A5078,"['A5078', 'A5077', 'A5069', 'A5076', 'A5074', 'N-0497', 'A5074', 'A5072', 'A5070', 'A5068', 'A5067', 'N-0457', 'A5067', 'A5066', 'A5064', 'A5063', 'A5060', 'A5061', 'A5152', 'A5153', 'A5152', 'A5154', 'A5240', 'A5704', 'A5703', 'A5227', 'A5234', 'A5233', 'A5232', 'A5209', 'A5208', 'A5204', 'A5203', 'A5503', 'A5206', 'A5207', 'A5517', 'A5502', 'A5517', 'A5516', 'A5509', 'A5510', 'A5509', 'A5511', 'A5513', 'A5511', 'A5514', 'A5700', 'A5701', 'A5700', 'A5514', 'AN-1871', 'A5514', 'A5700', 'A5701', 'A5700', 'A5514', 'AN-1871', 'A5514', 'A5511', 'A5513', 'A5511', 'A5514', 'A5700', 'A5701', 'A5700', 'A5514', 'AN-1871', 'A5514', 'A5511', 'A5509', 'A5516', 'A5515', 'A5516', 'A5517', 'A5207', 'A5208', 'A5209', 'A5232', 'A5231', 'A5237', 'A5235', 'A5704', 'A5240', 'A5154', 'A5161', 'A5226', 'A5225', 'A5222', 'A5223', 'A5224', 'A5158', 'A5163', 'A5159', 'A5156', 'A5702', 'A5161', 'A5154', 'A5152', 'A5061']"
2,A5078,"['A5078', 'A5077', 'A5078', 'A5077', 'A5069', 'A5076', 'A5074', 'A5076', 'A5069', 'A5068', 'A5069', 'A5077', 'A5078', 'A5077', 'A5004', 'A5006', 'A5004', 'A5080', 'A5102', 'A4200', 'A5102', 'A5080', 'A5081', 'A5082', 'N-0492', 'A5145', 'N-0490', 'A5150', 'AN-1865', 'N-0455', 'AN-1866', 'N-0481', 'AN-1866', 'AN1866A', 'A5446', 'A5445', 'A5444', 'A5443', 'A5442', 'A5441', 'A5439', 'A5440', 'A5439', 'A5419', 'A5418', 'A5417', 'A5415', 'A5414', 'A5413', 'N-0493', 'N-0494', 'N-0495', 'N-0494', 'N-0496', 'N-0494', 'N-0493', 'A5411', 'A5410', 'A5401', 'A5388', 'A5105', 'A5386', 'A5385', 'A5384', 'A5452', 'A5453', 'A5454', 'A5455', 'A5456', 'A5457', 'A5458', 'A5459', 'A5455', 'A5454', 'A5460', 'A5454', 'A5483', 'A5461', 'A5462', 'A5461', 'A5483', 'A5482', 'A5484', 'A5485', 'A5484', 'A5482', 'A5476', 'A5475', 'A5468', 'A5467', 'A5466', 'A5453', 'A5452', 'A5384', 'A5374', 'A5373', 'A5372', 'A5336', 'A5335', 'A5331']"
3,A5078,"['A5078', 'A5077', 'A5004', 'A5006', 'A5008', 'A5009', 'A5010', 'A5012', 'N-0473', 'A5012', 'A5010', 'A5011', 'A5013', 'N-0472', 'A5013', 'A5011', 'A5014', 'A5015', 'A5016', 'A5017', 'N-0463', 'A5017', 'A5016', 'A5020', 'A5019', 'A5032', 'A5030', 'A5033', 'N-0461', 'A5033', 'A5030', 'A5029', 'A5028', 'A5031', 'A5027', 'A5026', 'A5036', 'N-0484', 'N-0485', 'N-0484', 'A5035', 'N-0464', 'A5035', 'A5034', 'A5028', 'A5031', 'A5027', 'A5026', 'A5036', 'N-0484', 'A5035', 'N-0464', 'A5035', 'A5034', 'A5028', 'A5029', 'A5030', 'A5032', 'A5019', 'A5020', 'A5021', 'A5022', 'N-0462', 'A5022', 'A5021', 'N-0488', 'N-0486', 'N-0488', 'N-0487', 'N-0488', 'A5021', 'A5020', 'A5023', 'A5024', 'A5025', 'A5026', 'A5027', 'A5031', 'A5027', 'A5026', 'A5036', 'A5037', 'A5038', 'A5039', 'N-0466', 'A5039', 'A5038', 'A5040', 'A5024', 'A5023', 'A5020', 'A5016', 'A5015', 'A5014', 'A5011', 'A5010', 'A5009', 'A5008', 'A5055', 'A5073']"
4,A5078,"['A5078', 'A5077', 'A5004', 'A5080', 'A5102', 'A4200', 'N-0474', 'A4200', 'A5102', 'A5080', 'A5081', 'A5082', 'N-0492', 'A5145', 'N-0490', 'A5150', 'AN-1865', 'N-0455', 'AN-1866', 'N-0481', 'AN-1866', 'AN1866A', 'A5446', 'A5445', 'A5444', 'A5443', 'A5442', 'A5441', 'A5439', 'A5440', 'A5439', 'A5419', 'A5418', 'A5417', 'A5415', 'A5414', 'A5413', 'N-0493', 'N-0494', 'N-0495', 'N-0494', 'N-0496', 'N-0494', 'N-0493', 'A5411', 'A5410', 'A5401', 'A5388', 'A5105', 'A5386', 'A5385', 'A5384', 'A5452', 'A5453', 'A5454', 'A5455', 'A5456', 'A5457', 'A5458', 'A5459', 'A5455', 'A5454', 'A5460', 'A5454', 'A5483', 'A5461', 'A5462', 'A5461', 'A5483', 'A5482', 'A5484', 'A5485', 'A5484', 'A5482', 'A5476', 'A5475', 'A5468', 'A5467', 'A5466', 'A5453', 'A5452', 'A5384', 'A5374', 'A5373', 'A5372', 'A5336', 'A5335', 'A5331', 'A5330', 'A5337', 'A5336', 'A5372', 'A5373', 'A5374', 'A5375', 'A5377', 'A5375', 'A5376', 'A5375', 'A5378']"
5,A5078,"['A5078', 'A5077', 'A5004', 'A5077', 'A5004', 'A5006', 'A5008', 'A5009', 'A5010', 'A5012', 'N-0473', 'A5012', 'A5010', 'A5011', 'A5013', 'N-0472', 'A5013', 'A5011', 'A5014', 'A5015', 'A5016', 'A5017', 'N-0463', 'A5017', 'A5016', 'A5020', 'A5019', 'A5032', 'A5030', 'A5033', 'N-0461', 'A5033', 'A5030', 'A5029', 'A5028', 'A5031', 'A5027', 'A5026', 'A5036', 'N-0484', 'A5036', 'A5037', 'A5038', 'A5039', 'N-0466', 'A5039', 'A5038', 'A5040', 'A5024', 'A5023', 'A5020', 'A5016', 'A5015', 'A5014', 'A5018', 'A5019', 'A5020', 'A5021', 'A5022', 'N-0462', 'A5022', 'A5021', 'N-0488', 'N-0486', 'N-0488', 'N-0487', 'N-0488', 'A5021', 'A5022', 'N-0462', 'A5022', 'A5021', 'N-0488', 'N-0486', 'N-0488', 'N-0487', 'N-0488', 'A5021', 'A5020', 'A5023', 'A5024', 'A5040', 'A5038', 'A5037', 'A5041', 'A5042', 'N-0468', 'A5042', 'A5041', 'A5043', 'A5045', 'A5046', 'N-0470', 'A5046', 'A5045', 'A5047', 'N-0471', 'A5047', 'A5045', 'A5043']"
6,A5078,"['A5078', 'A5077', 'A5004', 'A5003', 'A5004', 'A5080', 'A5102', 'A4200', 'N-0474', 'A4200', 'A5102', 'A5080', 'A5081', 'A5082', 'N-0492', 'A5145', 'N-0490', 'A5150', 'AN-1865', 'N-0455', 'AN-1866', 'N-0455', 'AN-1865', 'A5150', 'N-0490', 'N-0491', 'N-0490', 'A5145', 'A5146', 'N-0480', 'A5146', 'A5145', 'N-0492', 'A5082', 'A5089', 'A5083', 'A5084', 'A5085', 'A5086', 'A5087', 'A5088', 'N-0479', 'A5088', 'A5087', 'A5081', 'A5080', 'A5004', 'A5003', 'A5001', 'A5001A', 'A5000', 'A4195', 'A4191', 'A4190', 'A4189', 'A4113', 'A4112', 'A4127', 'A4002', 'A4001', 'A4000', 'A4001', 'A4002', 'A4127', 'A4112', 'A4113', 'A4189', 'A4190', 'A4191', 'A4195', 'A5000', 'A5001A', 'A5001', 'A5003', 'A5004', 'A5006', 'A5008', 'A5009', 'A5010', 'A5012', 'N-0473', 'A5012', 'A5010', 'A5011', 'A5013', 'N-0472', 'A5013', 'A5011', 'A5014', 'A5015', 'A5016', 'A5017', 'N-0463', 'A5017', 'A5016', 'A5020', 'A5019', 'A5032', 'A5030', 'A5033']"
7,A5078,"['A5078', 'A5077', 'A5004', 'A5003', 'A5001', 'A5003', 'A5004', 'A5006', 'A5008', 'A5009', 'A5010', 'A5009', 'A5008', 'A5055', 'A5073', 'A5061', 'A5060', 'A5063', 'A5064', 'A5065', 'A5064', 'A5066', 'A5067', 'A5068', 'A5069', 'A5077', 'A5078', 'A5077', 'A5004', 'A5006', 'A5008', 'A5055', 'A5073', 'A5061', 'A5152', 'A5153', 'A5152', 'A5154', 'A5240', 'A5704', 'A5703', 'A5227', 'A5234', 'A5233', 'A5232', 'A5209', 'A5208', 'A5204', 'A5203', 'A5503', 'A5206', 'A5207', 'A5517', 'A5502', 'A5517', 'A5516', 'A5515', 'A5516', 'A5517', 'A5207', 'A5208', 'A5209', 'A5232', 'A5231', 'A5237', 'A5235', 'A5704', 'A5240', 'A5154', 'A5161', 'A5226', 'A5225', 'A5222', 'A5223', 'A5224', 'A5158', 'A5163', 'A5159', 'A5156', 'A5702', 'A5161', 'A5154', 'A5152', 'A5061', 'A5073', 'A5072', 'A5074', 'A5076', 'A5069', 'A5068', 'A5070', 'A5071', 'A5070', 'A5072', 'A5073', 'A5055', 'N-0489', 'A5055', 'A5008', 'N-0460']"
8,A5078,"['A5078', 'A5077', 'A5004', 'A5003', 'A5001', 'A5001A', 'A5001', 'A5003', 'A5004', 'A5006', 'A5008', 'A5009', 'A5010', 'A5009', 'A5008', 'A5055', 'A5073', 'A5061', 'A5060', 'A5063', 'A5064', 'A5063', 'A5060', 'A5061', 'A5152', 'A5153', 'A5152', 'A5154', 'A5240', 'A5704', 'A5703', 'A5227', 'A5234', 'A5233', 'A5232', 'A5209', 'A5208', 'A5204', 'A5203', 'A5503', 'A5206', 'A5207', 'A5517', 'A5502', 'A5517', 'A5516', 'A5509', 'A5510', 'A5509', 'A5511', 'A5513', 'A5511', 'A5514', 'A5511', 'A5509', 'A5516', 'A5509', 'A5510', 'A5509', 'A5511', 'A5509', 'A5516', 'A5515', 'A5516', 'A5517', 'A5207', 'A5208', 'A5209', 'A5232', 'A5231', 'A5237', 'A5235', 'A5704', 'A5240', 'A5154', 'A5161', 'A5226', 'A5225', 'A5222', 'A5223', 'A5224', 'A5158', 'A5163', 'A5159', 'A5156', 'A5702', 'A5161', 'A5154', 'A5152', 'A5061', 'A5073', 'A5072', 'A5074', 'A5076', 'A5069', 'A5068', 'A5070', 'A5071', 'A5070', 'A5072']"
9,A5078,"['A5078', 'A5077', 'A5004', 'A5003', 'A5001', 'A5001A', 'A5000', 'A5001A', 'A5001', 'A5003', 'A5004', 'A5006', 'A5008', 'N-0460', 'A5008', 'A5006', 'A5008', 'A5009', 'A5010', 'A5012', 'A5010', 'A5011', 'A5013', 'N-0472', 'A5013', 'A5011', 'A5014', 'A5015', 'A5016', 'A5017', 'N-0463', 'A5017', 'A5016', 'A5020', 'A5019', 'A5032', 'A5030', 'A5033', 'N-0461', 'A5033', 'A5030', 'A5029', 'A5028', 'A5031', 'A5027', 'A5026', 'A5036', 'N-0484', 'N-0485', 'N-0484', 'A5036', 'A5037', 'A5038', 'A5039', 'N-0466', 'A5039', 'A5038', 'A5040', 'A5024', 'A5023', 'A5020', 'A5016', 'A5015', 'A5014', 'A5018', 'A5019', 'A5020', 'A5021', 'A5020', 'A5023', 'A5024', 'A5025', 'A5026', 'A5027', 'A5031', 'A5028', 'A5034', 'A5035', 'N-0483', 'A5053', 'A5052', 'N-0459', 'A5052', 'N-0482', 'N-0483', 'A5035', 'N-0484', 'A5036', 'A5037', 'A5038', 'A5039', 'N-0466', 'A5039', 'A5038', 'A5040', 'A5024', 'A5023', 'A5020', 'A5016', 'A5015']"
