agent_id,start_pos,path
0,A5078,"['A5078', 'A5077', 'A5004', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5001A', 'A5000', 'A4195', 'A4191', 'A4190', 'A4189', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113', 'A4112', 'A4113']"
1,A5078,"['A5078', 'A5077', 'A5069', 'A5068', 'A5067', 'A5066', 'A5064', 'A5063', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061', 'A5060', 'A5061']"
2,A5078,"['A5078', 'A5077', 'A5078', 'A5077', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003', 'A5001', 'A5003']"
3,A5078,"['A5078', 'A5077', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003', 'A5004', 'A5003']"
4,A5078,"['A5078', 'A5077', 'A5069', 'A5077', 'A5069', 'A5068', 'A5067', 'A5066', 'A5064', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063', 'A5060', 'A5063']"
5,A5078,"['A5078', 'A5077', 'A5078', 'A5077', 'A5078', 'A5077', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006', 'A5004', 'A5006']"
6,A5078,"['A5078', 'A5077', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5077', 'A5004', 'A5077', 'A5004', 'A5077', 'A5004', 'A5077', 'A5004', 'A5077', 'A5004', 'A5077', 'A5004', 'A5077', 'A5004', 'A5077', 'A5004', 'A5077', 'A5004', 'A5077', 'A5004', 'A5077', 'A5004', 'A5077', 'A5004', 'A5077', 'A5004', 'A5077', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080', 'A5004', 'A5080']"
7,A5078,"['A5078', 'A5077', 'A5069', 'A5076', 'A5069', 'A5077', 'A5069', 'A5068', 'A5067', 'A5066', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063', 'A5064', 'A5063']"
8,A5078,"['A5078', 'A5077', 'A5078', 'A5077', 'A5004', 'A5077', 'A5078', 'A5077', 'A5069', 'A5068', 'A5067', 'A5066', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065', 'A5064', 'A5065']"
9,A5078,"['A5078', 'A5077', 'A5004', 'A5077', 'A5069', 'A5076', 'A5069', 'A5077', 'A5078', 'A5077', 'A5069', 'A5068', 'A5067', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066', 'A5064', 'A5066']"
