turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score
0,0.02979737783075089,0.02610966057441253,1.0,1.0
1,0.11918951132300357,0.0783289817232376,1.0,0.6666666666666666
2,0.17878426698450536,0.13054830287206268,0.6666666666666666,0.4
3,0.26817640047675806,0.20887728459530025,0.5,0.5
4,0.3575685339690107,0.28720626631853785,0.5,0.375
5,0.4469606674612634,0.36553524804177545,0.3333333333333333,0.3333333333333333
6,0.5363528009535161,0.44386422976501305,0.3333333333333333,0.3
7,0.6257449344457688,0.5221932114882507,0.3333333333333333,0.3
8,0.7151370679380215,0.6005221932114883,0.3,0.3
9,0.8045292014302742,0.7049608355091384,0.3,0.4
10,0.9237187127532777,0.8093994778067884,0.4,0.4
11,0.9833134684147794,0.8877284595300261,0.2,0.3333333333333333
12,1.0429082240762813,0.9399477806788512,0.2,0.2222222222222222
13,1.102502979737783,0.9921671018276762,0.2,0.2
14,1.1620977353992847,1.0443864229765014,0.2,0.2
15,1.2216924910607865,1.0966057441253265,0.2222222222222222,0.2
16,1.2812872467222884,1.1488250652741514,0.2222222222222222,0.2
17,1.3408820023837902,1.2010443864229765,0.2222222222222222,0.2
18,1.3706793802145412,1.2532637075718016,0.1,0.2
19,1.400476758045292,1.2793733681462143,0.1,0.1
20,1.400476758045292,1.2793733681462143,0.0,0.0
21,1.4600715137067939,1.3315926892950392,0.2,0.2
22,1.5196662693682956,1.3838120104438643,0.2,0.2
23,1.5494636471990464,1.4099216710182767,0.1,0.1
24,1.6090584028605484,1.4621409921671018,0.2,0.2
25,1.6090584028605484,1.4621409921671018,0.0,0.0
26,1.6090584028605484,1.4621409921671018,0.0,0.0
27,1.6388557806912993,1.4882506527415142,0.1,0.1
28,1.66865315852205,1.514360313315927,0.1,0.1
29,1.698450536352801,1.5404699738903394,0.1,0.1111111111111111
30,1.7580452920143028,1.5926892950391645,0.2,0.2
31,1.8176400476758046,1.6449086161879896,0.2,0.2222222222222222
32,1.8474374255065553,1.6971279373368149,0.1,0.2
33,1.8474374255065553,1.6971279373368149,0.0,0.0
34,1.8474374255065553,1.6971279373368149,0.0,0.0
35,1.8772348033373063,1.723237597911227,0.1,0.1
36,1.936829558998808,1.7754569190600522,0.2,0.2
37,1.9666269368295588,1.8015665796344646,0.1,0.1
38,1.9964243146603098,1.8276762402088773,0.125,0.1
39,1.9964243146603098,1.8537859007832898,0.0,0.1
40,1.9964243146603098,1.8537859007832898,0.0,0.0
41,2.026221692491061,1.8798955613577024,0.1111111111111111,0.1
42,2.056019070321812,1.9060052219321149,0.1,0.1
43,2.056019070321812,1.95822454308094,0.0,0.2
44,2.056019070321812,1.95822454308094,0.0,0.0
45,2.1156138259833135,2.010443864229765,0.2,0.2
46,2.1454112038140645,2.0365535248041775,0.1,0.1
47,2.1454112038140645,2.0365535248041775,0.0,0.0
48,2.1752085816448155,2.06266318537859,0.1111111111111111,0.1111111111111111
49,2.205005959475566,2.114882506527415,0.1,0.2
50,2.234803337306317,2.1409921671018277,0.1,0.1
51,2.264600715137068,2.16710182767624,0.1,0.1
52,2.294398092967819,2.193211488250653,0.1,0.1
53,2.3241954707985695,2.219321148825065,0.1111111111111111,0.1
54,2.3539928486293205,2.2454308093994775,0.1,0.1
55,2.4135876042908224,2.297650130548303,0.2222222222222222,0.2
56,2.443384982121573,2.3237597911227157,0.1,0.1
57,2.443384982121573,2.3498694516971277,0.0,0.1
58,2.4731823599523244,2.3759791122715406,0.1,0.1111111111111111
59,2.5029797377830754,2.402088772845953,0.1,0.1
60,2.532777115613826,2.4281984334203655,0.1,0.1
61,2.562574493444577,2.4543080939947783,0.1111111111111111,0.1111111111111111
62,2.592371871275328,2.4804177545691903,0.1,0.1
63,2.622169249106079,2.506527415143603,0.1,0.1
64,2.6519666269368294,2.5326370757180157,0.1,0.1111111111111111
65,2.6817640047675804,2.5587467362924285,0.1,0.1
66,2.7413587604290823,2.610966057441253,0.2,0.2
67,2.7413587604290823,2.6631853785900783,0.0,0.2
68,2.7413587604290823,2.6631853785900783,0.0,0.0
69,2.800953516090584,2.715404699738903,0.2,0.2
70,2.860548271752086,2.7676240208877285,0.2,0.2
71,2.9201430274135878,2.8198433420365534,0.2222222222222222,0.2
72,2.9797377830750893,2.8720626631853787,0.2,0.2
73,3.0393325387365913,2.9242819843342036,0.2222222222222222,0.2
74,3.098927294398093,2.9765013054830285,0.2222222222222222,0.2
75,3.158522050059595,3.028720626631854,0.2,0.2
76,3.2181168057210967,3.0809399477806787,0.2222222222222222,0.2
