agent_id,start_pos,path
0,A2148,"['A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438']"
1,A2148,"['A2148', 'A5438', 'A5437', 'A5436', 'A5434', 'A5433', 'A5432', 'A5429', 'A5427', 'A5425', 'A5426', 'A5425', 'A5420', 'A5419', 'A5439', 'A5441', 'A5442', 'A5443', 'A5444', 'A5445', 'A5446', 'A5447', 'A5448', 'A5447', 'A5449', 'A5450', 'A5449', 'A5451', 'A5449', 'A5447', 'A5446', 'A5445', 'A5444', 'A5443', 'A5442', 'A5441', 'A5439', 'A5440', 'A5439', 'A5419', 'A5418', 'A5417', 'A5415', 'A5414', 'A5413', 'N-0493', 'N-0494', 'N-0493', 'A5411', 'A5410', 'A5401', 'A5388', 'A5105', 'A5386', 'A5385', 'A5384', 'A5452', 'A5453', 'A5454', 'A5455', 'A5456', 'A5457', 'A5458', 'A5459', 'A5455', 'A5454', 'A5460', 'A5454', 'A5483', 'A5461', 'A5462', 'A5461', 'A5483', 'A5454', 'A5453', 'A5466', 'A5467', 'A5468', 'A5469', 'A5470', 'A5472', 'A5473', 'A5472', 'A5474', 'A5472', 'A5470', 'A5471', 'A5470', 'A5469', 'A5468', 'A5467', 'A5466', 'A5453', 'A5452', 'A5384', 'A5374', 'A5373', 'A5372', 'A5336', 'A5335']"
2,A2148,"['A2148', 'A5438', 'A2148', 'A5438', 'A5437', 'A5436', 'A5434', 'A5433', 'A5432', 'A5429', 'A5427', 'A5425', 'A5427', 'A5425', 'A5426', 'A5425', 'A5420', 'A5419', 'A5439', 'A5441', 'A5442', 'A5443', 'A5444', 'A5445', 'A5446', 'A5447', 'A5448', 'A5447', 'A5446', 'A5445', 'A5444', 'A5443', 'A5442', 'A5441', 'A5439', 'A5419', 'A5418', 'A5417', 'A5415', 'A5414', 'A5413', 'N-0493', 'N-0494', 'N-0495', 'N-0494', 'N-0496', 'N-0494', 'N-0495', 'N-0494', 'N-0496', 'N-0494', 'N-0493', 'A5411', 'A5410', 'A5401', 'A5388', 'A5105', 'A5386', 'A5385', 'A5384', 'A5452', 'A5453', 'A5454', 'A5455', 'A5456', 'A5457', 'A5458', 'A5459', 'A5455', 'A5454', 'A5460', 'A5454', 'A5483', 'A5461', 'A5462', 'A5461', 'A5483', 'A5482', 'A5484', 'A5485', 'A5484', 'A5482', 'A5476', 'A5475', 'A5468', 'A5467', 'A5466', 'A5453', 'A5452', 'A5384', 'A5374', 'A5373', 'A5372', 'A5336', 'A5335', 'A5331', 'A5330', 'A5337', 'A5336', 'A5337']"
3,A2148,"['A2148', 'A5438', 'A5437', 'A5438', 'A2148', 'A5438', 'A5437', 'A5436', 'A5434', 'A5433', 'A5432', 'A5429', 'A5427', 'A5428', 'A5427', 'A5425', 'A5427', 'A5425', 'A5420', 'A5419', 'A5439', 'A5441', 'A5442', 'A5443', 'A5444', 'A5445', 'A5446', 'A5447', 'A5448', 'A5447', 'A5448', 'A5447', 'A5446', 'A5445', 'A5444', 'A5443', 'A5442', 'A5441', 'A5439', 'A5441', 'A5439', 'A5419', 'A5418', 'A5417', 'A5415', 'A5414', 'A5413', 'N-0493', 'A5413', 'N-0493', 'N-0494', 'N-0495', 'N-0494', 'N-0496', 'N-0494', 'N-0493', 'A5411', 'A5410', 'A5401', 'A5388', 'A5105', 'A5386', 'A5385', 'A5384', 'A5452', 'A5453', 'A5454', 'A5455', 'A5456', 'A5457', 'A5458', 'A5459', 'A5455', 'A5454', 'A5455', 'A5456', 'A5457', 'A5458', 'A5459', 'A5455', 'A5454', 'A5460', 'A5454', 'A5453', 'A5466', 'A5467', 'A5468', 'A5469', 'A5470', 'A5472', 'A5473', 'A5472', 'A5474', 'A5472', 'A5470', 'A5471', 'A5470', 'A5469', 'A5468', 'A5475']"
4,A2148,"['A2148', 'A5438', 'A2148', 'A5438', 'A5437', 'A5438', 'A2148', 'A5438', 'A5437', 'A5436', 'A5434', 'A5433', 'A5432', 'A5429', 'A5427', 'A5428', 'A5427', 'A5428', 'A5427', 'A5425', 'A5420', 'A5419', 'A5439', 'A5441', 'A5442', 'A5443', 'A5444', 'A5445', 'A5446', 'A5447', 'A5449', 'A5450', 'A5449', 'A5451', 'A5449', 'A5447', 'A5446', 'A5445', 'A5444', 'A5443', 'A5442', 'A5441', 'A5439', 'A5419', 'A5418', 'A5417', 'A5415', 'A5414', 'A5413', 'A5414', 'A5413', 'N-0493', 'A5413', 'N-0493', 'N-0494', 'N-0495', 'N-0494', 'N-0496', 'N-0494', 'N-0493', 'A5411', 'A5410', 'A5401', 'A5388', 'A5105', 'A5386', 'A5385', 'A5384', 'A5452', 'A5453', 'A5454', 'A5455', 'A5456', 'A5457', 'A5458', 'A5459', 'A5455', 'A5454', 'A5460', 'A5454', 'A5483', 'A5461', 'A5462', 'A5461', 'A5483', 'A5454', 'A5453', 'A5466', 'A5467', 'A5468', 'A5469', 'A5470', 'A5472', 'A5473', 'A5472', 'A5474', 'A5472', 'A5470', 'A5471', 'A5470']"
5,A2148,"['A2148', 'A5438', 'A5437', 'A5436', 'A5437', 'A5436', 'A5437', 'A5438', 'A2148', 'A5438', 'A5437', 'A5436', 'A5434', 'A5433', 'A5432', 'A5429', 'A5427', 'A5429', 'A5427', 'A5428', 'A5427', 'A5425', 'A5420', 'A5419', 'A5439', 'A5441', 'A5442', 'A5443', 'A5444', 'A5445', 'A5446', 'A5447', 'A5448', 'A5447', 'A5446', 'A5445', 'A5444', 'A5443', 'A5442', 'A5441', 'A5442', 'A5443', 'A5442', 'A5441', 'A5439', 'A5419', 'A5418', 'A5417', 'A5415', 'A5414', 'A5415', 'A5414', 'A5413', 'A5414', 'A5413', 'N-0493', 'A5413', 'N-0493', 'N-0494', 'N-0495', 'N-0494', 'N-0496', 'N-0494', 'N-0493', 'A5411', 'A5410', 'A5401', 'A5388', 'A5105', 'A5386', 'A5385', 'A5384', 'A5452', 'A5453', 'A5454', 'A5455', 'A5456', 'A5457', 'A5458', 'A5459', 'A5455', 'A5454', 'A5460', 'A5454', 'A5483', 'A5461', 'A5462', 'A5461', 'A5483', 'A5482', 'A5484', 'A5485', 'A5484', 'A5482', 'A5476', 'A5475', 'A5468', 'A5467', 'A5466', 'A5453']"
6,A2148,"['A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A5437', 'A5436', 'A5437', 'A5438', 'A2148', 'A5438', 'A5437', 'A5436', 'A5434', 'A5433', 'A5432', 'A5429', 'A5430', 'A5429', 'A5427', 'A5428', 'A5427', 'A5425', 'A5420', 'A5419', 'A5439', 'A5441', 'A5442', 'A5443', 'A5444', 'A5445', 'A5446', 'A5447', 'A5448', 'A5447', 'A5448', 'A5447', 'A5446', 'A5445', 'A5444', 'A5443', 'A5444', 'A5443', 'A5442', 'A5441', 'A5439', 'A5419', 'A5418', 'A5417', 'A5415', 'A5417', 'A5415', 'A5414', 'A5415', 'A5414', 'A5413', 'A5414', 'A5413', 'N-0493', 'A5413', 'N-0493', 'N-0494', 'N-0495', 'N-0494', 'N-0496', 'N-0494', 'N-0493', 'A5411', 'A5410', 'A5401', 'A5388', 'A5105', 'A5386', 'A5385', 'A5384', 'A5452', 'A5453', 'A5454', 'A5455', 'A5456', 'A5457', 'A5458', 'A5459', 'A5455', 'A5454', 'A5455', 'A5456', 'A5457', 'A5458', 'A5459', 'A5455', 'A5454', 'A5460', 'A5454', 'A5453', 'A5452', 'A5384', 'A5374', 'A5373']"
7,A2148,"['A2148', 'A5438', 'A5437', 'A5438', 'A5437', 'A5438', 'A2148', 'A5438', 'A5437', 'A5436', 'A5437', 'A5438', 'A2148', 'A5438', 'A5437', 'A5436', 'A5434', 'A5433', 'A5432', 'A5429', 'A5430', 'A5429', 'A5427', 'A5428', 'A5427', 'A5425', 'A5420', 'A5419', 'A5439', 'A5441', 'A5442', 'A5443', 'A5444', 'A5445', 'A5446', 'A5447', 'A5449', 'A5450', 'A5449', 'A5451', 'A5449', 'A5447', 'A5446', 'AN1866A', 'AN-1866', 'N-0455', 'AN-1865', 'A5150', 'N-0490', 'N-0491', 'N-0490', 'A5145', 'A5146', 'N-0480', 'A5146', 'A5145', 'N-0492', 'A5519', 'N-0458', 'A5519', 'N-0492', 'A5082', 'A5089', 'A5083', 'A5084', 'A5085', 'A5086', 'A5087', 'A5088', 'N-0479', 'A5088', 'A5087', 'A5081', 'A5080', 'A5004', 'A5077', 'A5069', 'A5076', 'A5074', 'N-0497', 'A5074', 'A5072', 'A5070', 'A5068', 'A5067', 'N-0457', 'A5067', 'A5066', 'A5064', 'A5063', 'A5060', 'A5061', 'A5152', 'A5153', 'A5152', 'A5154', 'A5240', 'A5704', 'A5703', 'A5227']"
8,A2148,"['A2148', 'A5438', 'A2148', 'A5438', 'A2148', 'A5438', 'A5437', 'A5438', 'A2148', 'A5438', 'A5437', 'A5436', 'A5437', 'A5438', 'A2148', 'A5438', 'A5437', 'A5436', 'A5434', 'A5433', 'A5432', 'A5429', 'A5430', 'A5429', 'A5427', 'A5428', 'A5427', 'A5425', 'A5420', 'A5419', 'A5439', 'A5441', 'A5442', 'A5443', 'A5444', 'A5445', 'A5446', 'A5447', 'A5448', 'A5447', 'A5446', 'A5445', 'A5444', 'A5445', 'A5446', 'A5447', 'A5446', 'A5445', 'A5444', 'A5443', 'A5442', 'A5441', 'A5439', 'A5440', 'A5439', 'A5419', 'A5418', 'A5417', 'A5415', 'A5414', 'A5413', 'A5414', 'A5413', 'N-0493', 'A5413', 'N-0493', 'N-0494', 'N-0495', 'N-0494', 'N-0496', 'N-0494', 'N-0493', 'A5411', 'A5410', 'A5401', 'A5388', 'A5105', 'A5386', 'A5385', 'A5384', 'A5452', 'A5453', 'A5454', 'A5455', 'A5456', 'A5457', 'A5458', 'A5459', 'A5455', 'A5454', 'A5460', 'A5454', 'A5483', 'A5461', 'A5462', 'A5461', 'A5483', 'A5454', 'A5453', 'A5466']"
9,A2148,"['A2148', 'A5438', 'A5437', 'A5436', 'A5434', 'A5435', 'A5434', 'A5435', 'A5434', 'A5435', 'A5434', 'A5435', 'A5434', 'A5435', 'A5434', 'A5435', 'A5434', 'A5435', 'A5434', 'A5435', 'A5434', 'A5433', 'A5432', 'A5429', 'A5430', 'A5429', 'A5427', 'A5428', 'A5427', 'A5425', 'A5420', 'A5419', 'A5439', 'A5441', 'A5442', 'A5443', 'A5444', 'A5445', 'A5446', 'A5447', 'A5448', 'A5447', 'A5448', 'A5447', 'A5449', 'A5447', 'A5448', 'A5447', 'A5446', 'A5445', 'A5444', 'A5443', 'A5442', 'A5441', 'A5439', 'A5441', 'A5439', 'A5419', 'A5418', 'A5417', 'A5415', 'A5414', 'A5415', 'A5414', 'A5413', 'A5414', 'A5413', 'N-0493', 'A5413', 'N-0493', 'N-0494', 'N-0495', 'N-0494', 'N-0496', 'N-0494', 'N-0493', 'A5411', 'A5410', 'A5401', 'A5388', 'A5105', 'A5386', 'A5385', 'A5384', 'A5452', 'A5453', 'A5454', 'A5455', 'A5456', 'A5457', 'A5458', 'A5459', 'A5455', 'A5454', 'A5460', 'A5454', 'A5483', 'A5461', 'A5462', 'A5461']"
