agent_id,start_pos,path
0,JUNCTION-12,"['JUNCTION-12', 'JUNCTION-11', 'JUNCTION-13', 'JUNCTION-49', 'JUNCTION-32', 'JUNCTION-31', 'JUNCTION-30', 'JUNCTION-10', 'JUNCTION-9', 'JUNCTION-14', 'JUNCTION-41', 'JUNCTION-14', 'JUNCTION-42', 'JUNCTION-45', 'JUNCTION-42', 'JUNCTION-46', 'JUNCTION-44', 'JUNCTION-85', 'JUNCTION-86', 'JUNCTION-87', 'JUNCTION-24', 'JUNCTION-89', 'JUNCTION-91', 'JUNCTION-90', 'JUNCTION-93', 'JUNCTION-104', 'JUNCTION-103', 'JUNCTION-1284', 'JUNCTION-1283', 'JUNCTION-1278', 'JUNCTION-1277', 'JUNCTION-1280', 'JUNCTION-202', 'JUNCTION-206', 'JUNCTION-207', 'JUNCTION-208', 'JUNCTION-1527', 'JUNCTION-209', 'JUNCTION-211', 'JUNCTION-213', 'JUNCTION-212', 'JUNCTION-211', 'JUNCTION-209', 'JUNCTION-1527', 'JUNCTION-208', 'JUNCTION-207', 'JUNCTION-210', 'JUNCTION-207', 'JUNCTION-206', 'JUNCTION-201', 'JUNCTION-200', 'JUNCTION-199', 'JUNCTION-118', 'JUNCTION-114', 'JUNCTION-220', 'JUNCTION-223', 'JUNCTION-222', 'JUNCTION-1486', 'JUNCTION-228', 'JUNCTION-229', 'JUNCTION-230', 'JUNCTION-231', 'JUNCTION-1586', 'JUNCTION-231', 'JUNCTION-230', 'JUNCTION-229', 'JUNCTION-1587', 'JUNCTION-229', 'JUNCTION-228', 'JUNCTION-1486', 'JUNCTION-222', 'JUNCTION-221', 'JUNCTION-227', 'JUNCTION-226', 'JUNCTION-225', 'JUNCTION-1487', 'JUNCTION-223', 'JUNCTION-220', 'JUNCTION-265', 'JUNCTION-266', 'JUNCTION-265', 'JUNCTION-268', 'JUNCTION-269', 'JUNCTION-270', 'JUNCTION-271', 'JUNCTION-272', 'JUNCTION-271', 'JUNCTION-270', 'JUNCTION-275', 'JUNCTION-273', 'JUNCTION-277', 'JUNCTION-278', 'JUNCTION-1506', 'JUNCTION-295', 'JUNCTION-267', 'JUNCTION-335', 'JUNCTION-336', 'JUNCTION-337', 'JUNCTION-338', 'JUNCTION-432']"
1,JUNCTION-12,"['JUNCTION-12', 'JUNCTION-11', 'JUNCTION-13', 'JUNCTION-49', 'JUNCTION-32', 'JUNCTION-31', 'JUNCTION-30', 'JUNCTION-10', 'JUNCTION-9', 'JUNCTION-14', 'JUNCTION-41', 'JUNCTION-14', 'JUNCTION-42', 'JUNCTION-45', 'JUNCTION-42', 'JUNCTION-46', 'JUNCTION-44', 'JUNCTION-85', 'JUNCTION-86', 'JUNCTION-87', 'JUNCTION-24', 'JUNCTION-89', 'JUNCTION-91', 'JUNCTION-90', 'JUNCTION-93', 'JUNCTION-104', 'JUNCTION-103', 'JUNCTION-1284', 'JUNCTION-1283', 'JUNCTION-1278', 'JUNCTION-1277', 'JUNCTION-1280', 'JUNCTION-202', 'JUNCTION-206', 'JUNCTION-207', 'JUNCTION-208', 'JUNCTION-1527', 'JUNCTION-209', 'JUNCTION-211', 'JUNCTION-213', 'JUNCTION-212', 'JUNCTION-211', 'JUNCTION-209', 'JUNCTION-1527', 'JUNCTION-208', 'JUNCTION-207', 'JUNCTION-210', 'JUNCTION-207', 'JUNCTION-206', 'JUNCTION-201', 'JUNCTION-200', 'JUNCTION-199', 'JUNCTION-118', 'JUNCTION-114', 'JUNCTION-220', 'JUNCTION-223', 'JUNCTION-222', 'JUNCTION-1486', 'JUNCTION-228', 'JUNCTION-229', 'JUNCTION-230', 'JUNCTION-231', 'JUNCTION-1586', 'JUNCTION-231', 'JUNCTION-230', 'JUNCTION-229', 'JUNCTION-1587', 'JUNCTION-229', 'JUNCTION-228', 'JUNCTION-1486', 'JUNCTION-222', 'JUNCTION-221', 'JUNCTION-227', 'JUNCTION-226', 'JUNCTION-225', 'JUNCTION-1487', 'JUNCTION-223', 'JUNCTION-220', 'JUNCTION-265', 'JUNCTION-266', 'JUNCTION-265', 'JUNCTION-268', 'JUNCTION-269', 'JUNCTION-270', 'JUNCTION-271', 'JUNCTION-272', 'JUNCTION-271', 'JUNCTION-270', 'JUNCTION-275', 'JUNCTION-273', 'JUNCTION-277', 'JUNCTION-278', 'JUNCTION-1506', 'JUNCTION-295', 'JUNCTION-267', 'JUNCTION-335', 'JUNCTION-336', 'JUNCTION-337', 'JUNCTION-338', 'JUNCTION-432']"
2,JUNCTION-12,"['JUNCTION-12', 'JUNCTION-11', 'JUNCTION-13', 'JUNCTION-49', 'JUNCTION-32', 'JUNCTION-31', 'JUNCTION-30', 'JUNCTION-10', 'JUNCTION-9', 'JUNCTION-14', 'JUNCTION-41', 'JUNCTION-14', 'JUNCTION-42', 'JUNCTION-45', 'JUNCTION-42', 'JUNCTION-46', 'JUNCTION-44', 'JUNCTION-85', 'JUNCTION-86', 'JUNCTION-87', 'JUNCTION-24', 'JUNCTION-89', 'JUNCTION-91', 'JUNCTION-90', 'JUNCTION-93', 'JUNCTION-104', 'JUNCTION-103', 'JUNCTION-1284', 'JUNCTION-1283', 'JUNCTION-1278', 'JUNCTION-1277', 'JUNCTION-1280', 'JUNCTION-202', 'JUNCTION-206', 'JUNCTION-207', 'JUNCTION-208', 'JUNCTION-1527', 'JUNCTION-209', 'JUNCTION-211', 'JUNCTION-213', 'JUNCTION-212', 'JUNCTION-211', 'JUNCTION-209', 'JUNCTION-1527', 'JUNCTION-208', 'JUNCTION-207', 'JUNCTION-210', 'JUNCTION-207', 'JUNCTION-206', 'JUNCTION-201', 'JUNCTION-200', 'JUNCTION-199', 'JUNCTION-118', 'JUNCTION-114', 'JUNCTION-220', 'JUNCTION-223', 'JUNCTION-222', 'JUNCTION-1486', 'JUNCTION-228', 'JUNCTION-229', 'JUNCTION-230', 'JUNCTION-231', 'JUNCTION-1586', 'JUNCTION-231', 'JUNCTION-230', 'JUNCTION-229', 'JUNCTION-1587', 'JUNCTION-229', 'JUNCTION-228', 'JUNCTION-1486', 'JUNCTION-222', 'JUNCTION-221', 'JUNCTION-227', 'JUNCTION-226', 'JUNCTION-225', 'JUNCTION-1487', 'JUNCTION-223', 'JUNCTION-220', 'JUNCTION-265', 'JUNCTION-266', 'JUNCTION-265', 'JUNCTION-268', 'JUNCTION-269', 'JUNCTION-270', 'JUNCTION-271', 'JUNCTION-272', 'JUNCTION-271', 'JUNCTION-270', 'JUNCTION-275', 'JUNCTION-273', 'JUNCTION-277', 'JUNCTION-278', 'JUNCTION-1506', 'JUNCTION-295', 'JUNCTION-267', 'JUNCTION-335', 'JUNCTION-336', 'JUNCTION-337', 'JUNCTION-338', 'JUNCTION-432']"
3,JUNCTION-12,"['JUNCTION-12', 'JUNCTION-11', 'JUNCTION-13', 'JUNCTION-49', 'JUNCTION-32', 'JUNCTION-31', 'JUNCTION-30', 'JUNCTION-10', 'JUNCTION-9', 'JUNCTION-14', 'JUNCTION-41', 'JUNCTION-14', 'JUNCTION-42', 'JUNCTION-45', 'JUNCTION-42', 'JUNCTION-46', 'JUNCTION-44', 'JUNCTION-85', 'JUNCTION-86', 'JUNCTION-87', 'JUNCTION-24', 'JUNCTION-89', 'JUNCTION-91', 'JUNCTION-90', 'JUNCTION-93', 'JUNCTION-104', 'JUNCTION-103', 'JUNCTION-1284', 'JUNCTION-1283', 'JUNCTION-1278', 'JUNCTION-1277', 'JUNCTION-1280', 'JUNCTION-202', 'JUNCTION-206', 'JUNCTION-207', 'JUNCTION-208', 'JUNCTION-1527', 'JUNCTION-209', 'JUNCTION-211', 'JUNCTION-213', 'JUNCTION-212', 'JUNCTION-211', 'JUNCTION-209', 'JUNCTION-1527', 'JUNCTION-208', 'JUNCTION-207', 'JUNCTION-210', 'JUNCTION-207', 'JUNCTION-206', 'JUNCTION-201', 'JUNCTION-200', 'JUNCTION-199', 'JUNCTION-118', 'JUNCTION-114', 'JUNCTION-220', 'JUNCTION-223', 'JUNCTION-222', 'JUNCTION-1486', 'JUNCTION-228', 'JUNCTION-229', 'JUNCTION-230', 'JUNCTION-231', 'JUNCTION-1586', 'JUNCTION-231', 'JUNCTION-230', 'JUNCTION-229', 'JUNCTION-1587', 'JUNCTION-229', 'JUNCTION-228', 'JUNCTION-1486', 'JUNCTION-222', 'JUNCTION-221', 'JUNCTION-227', 'JUNCTION-226', 'JUNCTION-225', 'JUNCTION-1487', 'JUNCTION-223', 'JUNCTION-220', 'JUNCTION-265', 'JUNCTION-266', 'JUNCTION-265', 'JUNCTION-268', 'JUNCTION-269', 'JUNCTION-270', 'JUNCTION-271', 'JUNCTION-272', 'JUNCTION-271', 'JUNCTION-270', 'JUNCTION-275', 'JUNCTION-273', 'JUNCTION-277', 'JUNCTION-278', 'JUNCTION-1506', 'JUNCTION-295', 'JUNCTION-267', 'JUNCTION-335', 'JUNCTION-336', 'JUNCTION-337', 'JUNCTION-338', 'JUNCTION-432']"
4,JUNCTION-12,"['JUNCTION-12', 'JUNCTION-11', 'JUNCTION-13', 'JUNCTION-49', 'JUNCTION-32', 'JUNCTION-31', 'JUNCTION-30', 'JUNCTION-10', 'JUNCTION-9', 'JUNCTION-14', 'JUNCTION-41', 'JUNCTION-14', 'JUNCTION-42', 'JUNCTION-45', 'JUNCTION-42', 'JUNCTION-46', 'JUNCTION-44', 'JUNCTION-85', 'JUNCTION-86', 'JUNCTION-87', 'JUNCTION-24', 'JUNCTION-89', 'JUNCTION-91', 'JUNCTION-90', 'JUNCTION-93', 'JUNCTION-104', 'JUNCTION-103', 'JUNCTION-1284', 'JUNCTION-1283', 'JUNCTION-1278', 'JUNCTION-1277', 'JUNCTION-1280', 'JUNCTION-202', 'JUNCTION-206', 'JUNCTION-207', 'JUNCTION-208', 'JUNCTION-1527', 'JUNCTION-209', 'JUNCTION-211', 'JUNCTION-213', 'JUNCTION-212', 'JUNCTION-211', 'JUNCTION-209', 'JUNCTION-1527', 'JUNCTION-208', 'JUNCTION-207', 'JUNCTION-210', 'JUNCTION-207', 'JUNCTION-206', 'JUNCTION-201', 'JUNCTION-200', 'JUNCTION-199', 'JUNCTION-118', 'JUNCTION-114', 'JUNCTION-220', 'JUNCTION-223', 'JUNCTION-222', 'JUNCTION-1486', 'JUNCTION-228', 'JUNCTION-229', 'JUNCTION-230', 'JUNCTION-231', 'JUNCTION-1586', 'JUNCTION-231', 'JUNCTION-230', 'JUNCTION-229', 'JUNCTION-1587', 'JUNCTION-229', 'JUNCTION-228', 'JUNCTION-1486', 'JUNCTION-222', 'JUNCTION-221', 'JUNCTION-227', 'JUNCTION-226', 'JUNCTION-225', 'JUNCTION-1487', 'JUNCTION-223', 'JUNCTION-220', 'JUNCTION-265', 'JUNCTION-266', 'JUNCTION-265', 'JUNCTION-268', 'JUNCTION-269', 'JUNCTION-270', 'JUNCTION-271', 'JUNCTION-272', 'JUNCTION-271', 'JUNCTION-270', 'JUNCTION-275', 'JUNCTION-273', 'JUNCTION-277', 'JUNCTION-278', 'JUNCTION-1506', 'JUNCTION-295', 'JUNCTION-267', 'JUNCTION-335', 'JUNCTION-336', 'JUNCTION-337', 'JUNCTION-338', 'JUNCTION-432']"
5,JUNCTION-12,"['JUNCTION-12', 'JUNCTION-11', 'JUNCTION-13', 'JUNCTION-49', 'JUNCTION-32', 'JUNCTION-31', 'JUNCTION-30', 'JUNCTION-10', 'JUNCTION-9', 'JUNCTION-14', 'JUNCTION-41', 'JUNCTION-14', 'JUNCTION-42', 'JUNCTION-45', 'JUNCTION-42', 'JUNCTION-46', 'JUNCTION-44', 'JUNCTION-85', 'JUNCTION-86', 'JUNCTION-87', 'JUNCTION-24', 'JUNCTION-89', 'JUNCTION-91', 'JUNCTION-90', 'JUNCTION-93', 'JUNCTION-104', 'JUNCTION-103', 'JUNCTION-1284', 'JUNCTION-1283', 'JUNCTION-1278', 'JUNCTION-1277', 'JUNCTION-1280', 'JUNCTION-202', 'JUNCTION-206', 'JUNCTION-207', 'JUNCTION-208', 'JUNCTION-1527', 'JUNCTION-209', 'JUNCTION-211', 'JUNCTION-213', 'JUNCTION-212', 'JUNCTION-211', 'JUNCTION-209', 'JUNCTION-1527', 'JUNCTION-208', 'JUNCTION-207', 'JUNCTION-210', 'JUNCTION-207', 'JUNCTION-206', 'JUNCTION-201', 'JUNCTION-200', 'JUNCTION-199', 'JUNCTION-118', 'JUNCTION-114', 'JUNCTION-220', 'JUNCTION-223', 'JUNCTION-222', 'JUNCTION-1486', 'JUNCTION-228', 'JUNCTION-229', 'JUNCTION-230', 'JUNCTION-231', 'JUNCTION-1586', 'JUNCTION-231', 'JUNCTION-230', 'JUNCTION-229', 'JUNCTION-1587', 'JUNCTION-229', 'JUNCTION-228', 'JUNCTION-1486', 'JUNCTION-222', 'JUNCTION-221', 'JUNCTION-227', 'JUNCTION-226', 'JUNCTION-225', 'JUNCTION-1487', 'JUNCTION-223', 'JUNCTION-220', 'JUNCTION-265', 'JUNCTION-266', 'JUNCTION-265', 'JUNCTION-268', 'JUNCTION-269', 'JUNCTION-270', 'JUNCTION-271', 'JUNCTION-272', 'JUNCTION-271', 'JUNCTION-270', 'JUNCTION-275', 'JUNCTION-273', 'JUNCTION-277', 'JUNCTION-278', 'JUNCTION-1506', 'JUNCTION-295', 'JUNCTION-267', 'JUNCTION-335', 'JUNCTION-336', 'JUNCTION-337', 'JUNCTION-338', 'JUNCTION-432']"
6,JUNCTION-12,"['JUNCTION-12', 'JUNCTION-11', 'JUNCTION-13', 'JUNCTION-49', 'JUNCTION-32', 'JUNCTION-31', 'JUNCTION-30', 'JUNCTION-10', 'JUNCTION-9', 'JUNCTION-14', 'JUNCTION-41', 'JUNCTION-14', 'JUNCTION-42', 'JUNCTION-45', 'JUNCTION-42', 'JUNCTION-46', 'JUNCTION-44', 'JUNCTION-85', 'JUNCTION-86', 'JUNCTION-87', 'JUNCTION-24', 'JUNCTION-89', 'JUNCTION-91', 'JUNCTION-90', 'JUNCTION-93', 'JUNCTION-104', 'JUNCTION-103', 'JUNCTION-1284', 'JUNCTION-1283', 'JUNCTION-1278', 'JUNCTION-1277', 'JUNCTION-1280', 'JUNCTION-202', 'JUNCTION-206', 'JUNCTION-207', 'JUNCTION-208', 'JUNCTION-1527', 'JUNCTION-209', 'JUNCTION-211', 'JUNCTION-213', 'JUNCTION-212', 'JUNCTION-211', 'JUNCTION-209', 'JUNCTION-1527', 'JUNCTION-208', 'JUNCTION-207', 'JUNCTION-210', 'JUNCTION-207', 'JUNCTION-206', 'JUNCTION-201', 'JUNCTION-200', 'JUNCTION-199', 'JUNCTION-118', 'JUNCTION-114', 'JUNCTION-220', 'JUNCTION-223', 'JUNCTION-222', 'JUNCTION-1486', 'JUNCTION-228', 'JUNCTION-229', 'JUNCTION-230', 'JUNCTION-231', 'JUNCTION-1586', 'JUNCTION-231', 'JUNCTION-230', 'JUNCTION-229', 'JUNCTION-1587', 'JUNCTION-229', 'JUNCTION-228', 'JUNCTION-1486', 'JUNCTION-222', 'JUNCTION-221', 'JUNCTION-227', 'JUNCTION-226', 'JUNCTION-225', 'JUNCTION-1487', 'JUNCTION-223', 'JUNCTION-220', 'JUNCTION-265', 'JUNCTION-266', 'JUNCTION-265', 'JUNCTION-268', 'JUNCTION-269', 'JUNCTION-270', 'JUNCTION-271', 'JUNCTION-272', 'JUNCTION-271', 'JUNCTION-270', 'JUNCTION-275', 'JUNCTION-273', 'JUNCTION-277', 'JUNCTION-278', 'JUNCTION-1506', 'JUNCTION-295', 'JUNCTION-267', 'JUNCTION-335', 'JUNCTION-336', 'JUNCTION-337', 'JUNCTION-338', 'JUNCTION-432']"
7,JUNCTION-12,"['JUNCTION-12', 'JUNCTION-11', 'JUNCTION-13', 'JUNCTION-49', 'JUNCTION-32', 'JUNCTION-31', 'JUNCTION-30', 'JUNCTION-10', 'JUNCTION-9', 'JUNCTION-14', 'JUNCTION-41', 'JUNCTION-14', 'JUNCTION-42', 'JUNCTION-45', 'JUNCTION-42', 'JUNCTION-46', 'JUNCTION-44', 'JUNCTION-85', 'JUNCTION-86', 'JUNCTION-87', 'JUNCTION-24', 'JUNCTION-89', 'JUNCTION-91', 'JUNCTION-90', 'JUNCTION-93', 'JUNCTION-104', 'JUNCTION-103', 'JUNCTION-1284', 'JUNCTION-1283', 'JUNCTION-1278', 'JUNCTION-1277', 'JUNCTION-1280', 'JUNCTION-202', 'JUNCTION-206', 'JUNCTION-207', 'JUNCTION-208', 'JUNCTION-1527', 'JUNCTION-209', 'JUNCTION-211', 'JUNCTION-213', 'JUNCTION-212', 'JUNCTION-211', 'JUNCTION-209', 'JUNCTION-1527', 'JUNCTION-208', 'JUNCTION-207', 'JUNCTION-210', 'JUNCTION-207', 'JUNCTION-206', 'JUNCTION-201', 'JUNCTION-200', 'JUNCTION-199', 'JUNCTION-118', 'JUNCTION-114', 'JUNCTION-220', 'JUNCTION-223', 'JUNCTION-222', 'JUNCTION-1486', 'JUNCTION-228', 'JUNCTION-229', 'JUNCTION-230', 'JUNCTION-231', 'JUNCTION-1586', 'JUNCTION-231', 'JUNCTION-230', 'JUNCTION-229', 'JUNCTION-1587', 'JUNCTION-229', 'JUNCTION-228', 'JUNCTION-1486', 'JUNCTION-222', 'JUNCTION-221', 'JUNCTION-227', 'JUNCTION-226', 'JUNCTION-225', 'JUNCTION-1487', 'JUNCTION-223', 'JUNCTION-220', 'JUNCTION-265', 'JUNCTION-266', 'JUNCTION-265', 'JUNCTION-268', 'JUNCTION-269', 'JUNCTION-270', 'JUNCTION-271', 'JUNCTION-272', 'JUNCTION-271', 'JUNCTION-270', 'JUNCTION-275', 'JUNCTION-273', 'JUNCTION-277', 'JUNCTION-278', 'JUNCTION-1506', 'JUNCTION-295', 'JUNCTION-267', 'JUNCTION-335', 'JUNCTION-336', 'JUNCTION-337', 'JUNCTION-338', 'JUNCTION-432']"
8,JUNCTION-12,"['JUNCTION-12', 'JUNCTION-11', 'JUNCTION-13', 'JUNCTION-49', 'JUNCTION-32', 'JUNCTION-31', 'JUNCTION-30', 'JUNCTION-10', 'JUNCTION-9', 'JUNCTION-14', 'JUNCTION-41', 'JUNCTION-14', 'JUNCTION-42', 'JUNCTION-45', 'JUNCTION-42', 'JUNCTION-46', 'JUNCTION-44', 'JUNCTION-85', 'JUNCTION-86', 'JUNCTION-87', 'JUNCTION-24', 'JUNCTION-89', 'JUNCTION-91', 'JUNCTION-90', 'JUNCTION-93', 'JUNCTION-104', 'JUNCTION-103', 'JUNCTION-1284', 'JUNCTION-1283', 'JUNCTION-1278', 'JUNCTION-1277', 'JUNCTION-1280', 'JUNCTION-202', 'JUNCTION-206', 'JUNCTION-207', 'JUNCTION-208', 'JUNCTION-1527', 'JUNCTION-209', 'JUNCTION-211', 'JUNCTION-213', 'JUNCTION-212', 'JUNCTION-211', 'JUNCTION-209', 'JUNCTION-1527', 'JUNCTION-208', 'JUNCTION-207', 'JUNCTION-210', 'JUNCTION-207', 'JUNCTION-206', 'JUNCTION-201', 'JUNCTION-200', 'JUNCTION-199', 'JUNCTION-118', 'JUNCTION-114', 'JUNCTION-220', 'JUNCTION-223', 'JUNCTION-222', 'JUNCTION-1486', 'JUNCTION-228', 'JUNCTION-229', 'JUNCTION-230', 'JUNCTION-231', 'JUNCTION-1586', 'JUNCTION-231', 'JUNCTION-230', 'JUNCTION-229', 'JUNCTION-1587', 'JUNCTION-229', 'JUNCTION-228', 'JUNCTION-1486', 'JUNCTION-222', 'JUNCTION-221', 'JUNCTION-227', 'JUNCTION-226', 'JUNCTION-225', 'JUNCTION-1487', 'JUNCTION-223', 'JUNCTION-220', 'JUNCTION-265', 'JUNCTION-266', 'JUNCTION-265', 'JUNCTION-268', 'JUNCTION-269', 'JUNCTION-270', 'JUNCTION-271', 'JUNCTION-272', 'JUNCTION-271', 'JUNCTION-270', 'JUNCTION-275', 'JUNCTION-273', 'JUNCTION-277', 'JUNCTION-278', 'JUNCTION-1506', 'JUNCTION-295', 'JUNCTION-267', 'JUNCTION-335', 'JUNCTION-336', 'JUNCTION-337', 'JUNCTION-338', 'JUNCTION-432']"
9,JUNCTION-12,"['JUNCTION-12', 'JUNCTION-11', 'JUNCTION-13', 'JUNCTION-49', 'JUNCTION-32', 'JUNCTION-31', 'JUNCTION-30', 'JUNCTION-10', 'JUNCTION-9', 'JUNCTION-14', 'JUNCTION-41', 'JUNCTION-14', 'JUNCTION-42', 'JUNCTION-45', 'JUNCTION-42', 'JUNCTION-46', 'JUNCTION-44', 'JUNCTION-85', 'JUNCTION-86', 'JUNCTION-87', 'JUNCTION-24', 'JUNCTION-89', 'JUNCTION-91', 'JUNCTION-90', 'JUNCTION-93', 'JUNCTION-104', 'JUNCTION-103', 'JUNCTION-1284', 'JUNCTION-1283', 'JUNCTION-1278', 'JUNCTION-1277', 'JUNCTION-1280', 'JUNCTION-202', 'JUNCTION-206', 'JUNCTION-207', 'JUNCTION-208', 'JUNCTION-1527', 'JUNCTION-209', 'JUNCTION-211', 'JUNCTION-213', 'JUNCTION-212', 'JUNCTION-211', 'JUNCTION-209', 'JUNCTION-1527', 'JUNCTION-208', 'JUNCTION-207', 'JUNCTION-210', 'JUNCTION-207', 'JUNCTION-206', 'JUNCTION-201', 'JUNCTION-200', 'JUNCTION-199', 'JUNCTION-118', 'JUNCTION-114', 'JUNCTION-220', 'JUNCTION-223', 'JUNCTION-222', 'JUNCTION-1486', 'JUNCTION-228', 'JUNCTION-229', 'JUNCTION-230', 'JUNCTION-231', 'JUNCTION-1586', 'JUNCTION-231', 'JUNCTION-230', 'JUNCTION-229', 'JUNCTION-1587', 'JUNCTION-229', 'JUNCTION-228', 'JUNCTION-1486', 'JUNCTION-222', 'JUNCTION-221', 'JUNCTION-227', 'JUNCTION-226', 'JUNCTION-225', 'JUNCTION-1487', 'JUNCTION-223', 'JUNCTION-220', 'JUNCTION-265', 'JUNCTION-266', 'JUNCTION-265', 'JUNCTION-268', 'JUNCTION-269', 'JUNCTION-270', 'JUNCTION-271', 'JUNCTION-272', 'JUNCTION-271', 'JUNCTION-270', 'JUNCTION-275', 'JUNCTION-273', 'JUNCTION-277', 'JUNCTION-278', 'JUNCTION-1506', 'JUNCTION-295', 'JUNCTION-267', 'JUNCTION-335', 'JUNCTION-336', 'JUNCTION-337', 'JUNCTION-338', 'JUNCTION-432']"
