turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.1764705882352942,0.8944543828264758,0.6666666666666666,0.4,6,5
3,1.5686274509803921,1.2522361359570662,0.4,0.3333333333333333,8,7
4,1.9607843137254901,1.6100178890876566,0.4,0.2857142857142857,10,9
5,2.3529411764705883,1.9677996422182469,0.2857142857142857,0.25,12,11
6,2.549019607843137,2.146690518783542,0.16666666666666666,0.125,13,12
7,2.549019607843137,2.146690518783542,0.0,0.0,13,12
8,2.7450980392156863,2.3255813953488373,0.16666666666666666,0.1,14,13
9,2.941176470588235,2.5044722719141324,0.14285714285714285,0.1,15,14
10,3.1372549019607843,2.6833631484794274,0.14285714285714285,0.1,16,15
11,3.5294117647058822,3.041144901610018,0.2857142857142857,0.2,18,17
12,3.7254901960784315,3.2200357781753133,0.14285714285714285,0.1,19,18
13,4.117647058823529,3.5778175313059033,0.25,0.2,21,20
14,4.509803921568627,3.9355992844364938,0.3333333333333333,0.2,23,22
15,4.901960784313726,4.293381037567084,0.25,0.2,25,24
16,5.098039215686274,4.47227191413238,0.14285714285714285,0.1,26,25
17,5.490196078431373,4.83005366726297,0.25,0.2,28,27
18,5.88235294117647,5.18783542039356,0.2857142857142857,0.2,30,29
19,6.078431372549019,5.545617173524151,0.125,0.2,31,31
20,6.2745098039215685,5.724508050089446,0.14285714285714285,0.1,32,32
21,6.470588235294119,5.903398926654741,0.125,0.1,33,33
22,6.666666666666667,6.082289803220036,0.14285714285714285,0.1,34,34
23,6.862745098039216,6.261180679785331,0.125,0.1,35,35
24,7.0588235294117645,6.440071556350627,0.16666666666666666,0.1,36,36
25,7.254901960784315,6.618962432915922,0.125,0.1,37,37
26,7.254901960784315,6.618962432915922,0.0,0.0,37,37
27,7.254901960784315,6.618962432915922,0.0,0.0,37,37
28,7.254901960784315,6.618962432915922,0.0,0.0,37,37
29,7.254901960784315,6.618962432915922,0.0,0.0,37,37
30,7.254901960784315,6.618962432915922,0.0,0.0,37,37
31,7.254901960784315,6.618962432915922,0.0,0.0,37,37
32,7.254901960784315,6.618962432915922,0.0,0.0,37,37
33,7.254901960784315,6.618962432915922,0.0,0.0,37,37
34,7.254901960784315,6.618962432915922,0.0,0.0,37,37
35,7.254901960784315,6.618962432915922,0.0,0.0,37,37
36,7.254901960784315,6.618962432915922,0.0,0.0,37,37
37,7.254901960784315,6.618962432915922,0.0,0.0,37,37
38,7.254901960784315,6.618962432915922,0.0,0.0,37,37
39,7.254901960784315,6.618962432915922,0.0,0.0,37,37
40,7.254901960784315,6.618962432915922,0.0,0.0,37,37
41,7.254901960784315,6.618962432915922,0.0,0.0,37,37
42,7.254901960784315,6.618962432915922,0.0,0.0,37,37
43,7.450980392156863,6.797853309481217,0.125,0.1,38,38
44,7.647058823529412,6.976744186046512,0.16666666666666666,0.1,39,39
45,7.8431372549019605,7.155635062611807,0.125,0.1,40,40
46,8.03921568627451,7.334525939177102,0.14285714285714285,0.1,41,41
47,8.235294117647058,7.5134168157423975,0.125,0.1,42,42
48,8.431372549019608,7.6923076923076925,0.14285714285714285,0.1,43,43
49,8.431372549019608,7.6923076923076925,0.0,0.0,43,43
50,8.431372549019608,7.6923076923076925,0.0,0.0,43,43
51,8.431372549019608,7.6923076923076925,0.0,0.0,43,43
52,8.431372549019608,7.6923076923076925,0.0,0.0,43,43
53,8.627450980392156,7.8711985688729875,0.125,0.1,44,44
54,8.823529411764707,8.050089445438283,0.14285714285714285,0.1,45,45
55,9.019607843137255,8.407871198568873,0.14285714285714285,0.2,46,47
56,9.215686274509805,8.586762075134168,0.14285714285714285,0.1,47,48
57,9.411764705882353,8.94454382826476,0.125,0.2,48,50
58,9.411764705882353,8.94454382826476,0.0,0.0,48,50
59,9.411764705882353,8.94454382826476,0.0,0.0,48,50
60,9.607843137254903,9.123434704830053,0.14285714285714285,0.1,49,51
61,9.803921568627452,9.30232558139535,0.125,0.1,50,52
62,10.0,9.481216457960643,0.14285714285714285,0.1,51,53
63,10.392156862745098,9.838998211091235,0.25,0.2,53,55
64,10.588235294117647,10.01788908765653,0.14285714285714285,0.1,54,56
65,10.588235294117647,10.01788908765653,0.0,0.0,54,56
66,10.588235294117647,10.01788908765653,0.0,0.0,54,56
67,10.784313725490197,10.196779964221825,0.125,0.1,55,57
68,11.176470588235295,10.554561717352415,0.2857142857142857,0.2,57,59
69,11.372549019607844,10.73345259391771,0.125,0.1,58,60
70,11.568627450980392,10.912343470483005,0.14285714285714285,0.1,59,61
71,11.96078431372549,11.270125223613595,0.25,0.2,61,63
72,12.156862745098039,11.449016100178891,0.14285714285714285,0.1,62,64
73,12.156862745098039,11.449016100178891,0.0,0.0,62,64
74,12.156862745098039,11.449016100178891,0.0,0.0,62,64
75,12.549019607843137,11.806797853309481,0.25,0.2,64,66
76,12.941176470588237,12.164579606440071,0.2857142857142857,0.2,66,68
77,13.333333333333334,12.522361359570661,0.25,0.2,68,70
78,13.725490196078432,12.880143112701253,0.2857142857142857,0.2,70,72
79,13.92156862745098,13.059033989266547,0.125,0.1,71,73
80,14.117647058823529,13.237924865831843,0.14285714285714285,0.1,72,74
81,14.313725490196077,13.416815742397137,0.125,0.1,73,75
82,14.705882352941178,13.774597495527727,0.2857142857142857,0.2,75,77
83,14.901960784313726,13.953488372093023,0.125,0.1,76,78
84,15.294117647058824,14.311270125223613,0.2857142857142857,0.2,78,80
85,15.686274509803921,14.669051878354203,0.25,0.2,80,82
86,15.88235294117647,14.847942754919499,0.14285714285714285,0.1,81,83
87,16.274509803921568,15.20572450805009,0.25,0.2,83,85
88,16.470588235294116,15.56350626118068,0.14285714285714285,0.2,84,87
89,16.666666666666664,15.742397137745975,0.125,0.1,85,88
90,16.862745098039216,15.92128801431127,0.16666666666666666,0.1,86,89
91,17.058823529411764,16.100178890876567,0.125,0.1,87,90
92,17.058823529411764,16.100178890876567,0.0,0.0,87,90
93,17.45098039215686,16.457960644007155,0.25,0.2,89,92
94,17.84313725490196,16.815742397137747,0.2857142857142857,0.2,91,94
95,18.235294117647058,17.173524150268335,0.25,0.2,93,96
96,18.627450980392158,17.531305903398927,0.2857142857142857,0.2,95,98
97,19.019607843137255,17.88908765652952,0.25,0.2,97,100
98,19.411764705882355,18.246869409660107,0.2857142857142857,0.2,99,102
99,19.80392156862745,18.6046511627907,0.25,0.2,101,104
