agent_id,start_pos,path
0,A3018,"['A3018', 'A5368', 'A5365', 'A5362', 'A5359', 'A5358', 'A5356', 'A5357', 'A5356', 'A5355', 'A5310', 'A5309', 'N-2924', 'A5309', 'A5293', 'A5294', 'A5295', 'A5296', 'A5297', 'A5298', 'A5299', 'A5300', 'A5301', 'A5306', 'A5301', 'A5300', 'A5299', 'A5302', 'A5303', 'A5304', 'A5274', 'A5277', 'A5278', 'A5279', 'A5278', 'A5520', 'A5280', 'N-2923', 'N-0499', 'N-2923', 'N-2922', 'N-2923', 'N-0499', 'N-2923', 'N-2922', 'N-2923', 'N-0499', 'N-2923', 'N-2922', 'N-2923', 'N-0499', 'N-2923', 'N-2922', 'N-2923', 'A5280', 'N-0500', 'N-0501', 'N-0503', 'N-0507', 'N-0503', 'N-0505', 'N-0503', 'N-0501', 'A5281', 'A5283', 'A5281', 'A5282', 'A5281', 'N-0501', 'N-0500', 'N-0502', 'N-0504', 'N-0502', 'N-0506', 'N-0502', 'N-0500', 'A5280', 'A5520', 'A5278', 'A5277', 'A5274', 'A5273', 'A5272', 'A5270', 'A5709', 'A5305', 'A5307', 'A5349', 'A5347', 'A5346', 'A5310', 'A5355', 'A5350', 'A5352', 'A5353', 'A5354', 'A5353', 'A5352', 'A5350', 'AN-1868']"
1,A3018,"['A3018', 'A5368', 'A5369', 'A5366', 'A5365', 'A5368', 'A3018', 'A5368', 'A5369', 'A5366', 'A5365', 'A5362', 'A5359', 'A5358', 'A5356', 'A5357', 'A5356', 'A5355', 'A5310', 'A5309', 'N-2924', 'A5309', 'A5293', 'A5294', 'A5295', 'A5296', 'A5297', 'A5298', 'A5299', 'A5300', 'A5299', 'A5302', 'A5303', 'A5304', 'A5274', 'A5277', 'A5278', 'A5279', 'A5278', 'A5520', 'A5280', 'N-2923', 'A5280', 'N-0500', 'N-0501', 'N-0503', 'N-0507', 'N-0503', 'N-0505', 'N-0503', 'N-0507', 'N-0503', 'N-0505', 'N-0503', 'N-0507', 'N-0503', 'N-0505', 'N-0503', 'N-0501', 'A5281', 'A5283', 'A5281', 'A5282', 'A5281', 'A5282', 'A5284', 'A5286', 'A5284', 'A5285', 'A5284', 'A5286', 'A5287', 'A5288', 'A5289', 'A5288', 'A5287', 'A5286', 'A5284', 'A5285', 'A5284', 'A5286', 'A5287', 'A5288', 'A5289', 'A5290', 'A5291', 'A5292', 'A5293', 'A5309', 'A5310', 'A5346', 'A5311', 'A5346', 'AN-1868', 'A5350', 'A5355', 'A5353', 'A5354', 'A5353', 'A5355']"
2,A3018,"['A3018', 'A5368', 'A3018', 'A5368', 'A5369', 'A5366', 'A5365', 'A5362', 'A5359', 'A5358', 'A5356', 'A5357', 'A5356', 'A5355', 'A5310', 'A5309', 'N-2924', 'A5309', 'A5293', 'A5294', 'A5295', 'A5296', 'A5297', 'A5298', 'A5299', 'A5300', 'A5301', 'A5306', 'A5301', 'A5300', 'A5301', 'A5306', 'A5301', 'A5300', 'A5299', 'A5302', 'A5303', 'A5304', 'A5274', 'A5277', 'A5278', 'A5279', 'A5278', 'A5520', 'A5280', 'N-2923', 'A5280', 'N-0500', 'N-0501', 'N-0503', 'N-0501', 'A5281', 'A5283', 'A5281', 'A5282', 'A5281', 'A5283', 'A5281', 'A5282', 'A5281', 'A5282', 'A5284', 'A5286', 'A5287', 'A5288', 'A5287', 'A5286', 'A5287', 'A5288', 'A5289', 'A5290', 'A5291', 'A5290', 'A5289', 'A5290', 'A5291', 'A5292', 'A5293', 'A5309', 'A5310', 'A5346', 'A5311', 'A5346', 'AN-1868', 'A5312', 'A5313', 'A5315', 'A5316', 'A5321', 'A5320', 'A5319', 'A5324', 'A5322', 'A5321', 'A5316', 'A5317', 'A5318', 'A5319', 'A5320', 'A5321']"
3,A3018,"['A3018', 'A5368', 'A5365', 'A5366', 'A5369', 'A5368', 'A5365', 'A5368', 'A3018', 'A5368', 'A5369', 'A5366', 'A5365', 'A5362', 'A5359', 'A5358', 'A5356', 'A5358', 'A5356', 'A5357', 'A5356', 'A5355', 'A5310', 'A5309', 'N-2924', 'A5309', 'A5293', 'A5294', 'A5295', 'A5296', 'A5297', 'A5298', 'A5299', 'A5300', 'A5301', 'A5306', 'A5301', 'A5300', 'A5299', 'A5302', 'A5303', 'A5304', 'A5274', 'A5277', 'A5278', 'A5279', 'A5278', 'A5520', 'A5280', 'N-2923', 'A5280', 'N-0500', 'N-0501', 'N-0503', 'N-0501', 'A5281', 'A5282', 'A5284', 'A5286', 'A5287', 'A5288', 'A5289', 'A5290', 'A5289', 'A5288', 'A5289', 'A5290', 'A5291', 'A5292', 'A5293', 'A5309', 'A5310', 'A5346', 'A5311', 'A5346', 'AN-1868', 'A5350', 'A5355', 'A5353', 'A5352', 'A5350', 'A5355', 'A5353', 'A5354', 'A5353', 'A5355', 'A5350', 'A5352', 'A5351', 'A5352', 'A5353', 'A5354', 'A5353', 'A5355', 'A5356', 'A5358', 'A5359', 'A5361', 'A5363', 'A5362']"
4,A3018,"['A3018', 'A5368', 'A5365', 'A5368', 'A3018', 'A5368', 'A5369', 'A5366', 'A5365', 'A5368', 'A3018', 'A5368', 'A5365', 'A5368', 'A5369', 'A5366', 'A5365', 'A5368', 'A5369', 'A5366', 'A5365', 'A5362', 'A5359', 'A5361', 'A5359', 'A5362', 'A5359', 'A5358', 'A5356', 'A5357', 'A5356', 'A5355', 'A5310', 'A5309', 'N-2924', 'A5309', 'A5293', 'A5294', 'A5295', 'A5296', 'A5297', 'A5298', 'A5297', 'A5296', 'A5295', 'A5294', 'A5292', 'A5291', 'A5290', 'A5289', 'A5288', 'A5287', 'A5286', 'A5284', 'A5282', 'A5284', 'A5285', 'A5284', 'A5282', 'A5284', 'A5285', 'A5284', 'A5282', 'A5284', 'A5285', 'A5284', 'A5282', 'A5284', 'A5282', 'A5281', 'N-0501', 'N-0500', 'N-0502', 'N-0500', 'A5280', 'A5520', 'A5278', 'A5277', 'A5274', 'A5273', 'A5272', 'A5270', 'A5709', 'A5305', 'A5307', 'A5349', 'A5347', 'A5346', 'A5310', 'A5355', 'A5350', 'A5352', 'A5351', 'A5352', 'A5350', 'A5352', 'A5351', 'A5352', 'A5351', 'A5352']"
5,A3018,"['A3018', 'A5368', 'A5365', 'A5362', 'A5363', 'A5361', 'A5359', 'A5358', 'A5356', 'A5358', 'A5359', 'A5358', 'A5356', 'A5358', 'A5359', 'A5361', 'A5359', 'A5358', 'A5359', 'A5361', 'A5359', 'A5362', 'A5363', 'A5361', 'A5363', 'A5362', 'A5363', 'A5361', 'A5359', 'A5362', 'A5363', 'A5361', 'A5359', 'A5358', 'A5356', 'A5355', 'A5310', 'A5309', 'N-2924', 'A5309', 'A5293', 'A5294', 'A5295', 'A5296', 'A5297', 'A5298', 'A5299', 'A5300', 'A5299', 'A5302', 'A5303', 'A5304', 'A5274', 'A5277', 'A5278', 'A5279', 'A5278', 'A5520', 'A5280', 'N-2923', 'N-0499', 'N-2923', 'N-2922', 'N-2923', 'N-0499', 'N-2923', 'N-2922', 'N-2923', 'A5280', 'N-0500', 'A5280', 'A5520', 'A5278', 'A5277', 'A5274', 'A5273', 'A5272', 'A5270', 'A5709', 'A5305', 'A5307', 'A5349', 'A5347', 'A5346', 'A5310', 'A5355', 'A5356', 'A5358', 'A5359', 'A5361', 'A5363', 'A5362', 'A5365', 'A5368', 'A5369', 'A5366', 'A5365', 'A5362', 'A5359', 'A5358']"
6,A3018,"['A3018', 'A5368', 'A5365', 'A5362', 'A5365', 'A5362', 'A5363', 'A5361', 'A5359', 'A5361', 'A5359', 'A5361', 'A5359', 'A5361', 'A5359', 'A5362', 'A5365', 'A5362', 'A5359', 'A5358', 'A5356', 'A5358', 'A5359', 'A5358', 'A5356', 'A5357', 'A5356', 'A5355', 'A5310', 'A5309', 'N-2924', 'A5309', 'A5293', 'A5294', 'A5295', 'A5296', 'A5297', 'A5298', 'A5299', 'N-0508', 'A5299', 'A5298', 'A5299', 'A5300', 'A5301', 'A5306', 'A5301', 'A5300', 'A5301', 'A5306', 'A5301', 'A5300', 'A5299', 'A5302', 'A5303', 'A5304', 'A5274', 'A5277', 'A5278', 'A5279', 'A5278', 'A5520', 'A5280', 'N-2923', 'A5280', 'N-0500', 'N-0501', 'N-0503', 'N-0507', 'N-0503', 'N-0505', 'N-0503', 'N-0501', 'A5281', 'A5283', 'A5281', 'A5282', 'A5284', 'A5282', 'A5281', 'N-0501', 'N-0503', 'N-0507', 'N-0503', 'N-0505', 'N-0503', 'N-0501', 'A5281', 'A5283', 'A5281', 'A5282', 'A5284', 'A5285', 'A5284', 'A5286', 'A5287', 'A5288', 'A5289', 'A5290', 'A5291']"
7,A3018,"['A3018', 'A5368', 'A5365', 'A5362', 'A5359', 'A5361', 'A5363', 'A5362', 'A5363', 'A5361', 'A5363', 'A5361', 'A5363', 'A5361', 'A5363', 'A5361', 'A5363', 'A5362', 'A5363', 'A5361', 'A5363', 'A5362', 'A5365', 'A5368', 'A3018', 'A5368', 'A5369', 'A5366', 'A5365', 'A5362', 'A5359', 'A5358', 'A5356', 'A5357', 'A5356', 'A5358', 'A5359', 'A5361', 'A5359', 'A5362', 'A5365', 'A5368', 'A5369', 'A5366', 'A5365', 'A5362', 'A5359', 'A5358', 'A5356', 'A5357', 'A5356', 'A5355', 'A5310', 'A5309', 'N-2924', 'A5309', 'A5293', 'A5294', 'A5295', 'A5294', 'A5292', 'A5291', 'A5290', 'A5291', 'A5292', 'A5293', 'A5309', 'A5310', 'A5346', 'A5311', 'A5346', 'AN-1868', 'A5350', 'A5355', 'A5353', 'A5352', 'A5350', 'A5352', 'A5351', 'A5352', 'A5351', 'A5352', 'A5353', 'A5352', 'A5350', 'AN-1868', 'A5312', 'A5313', 'A5315', 'A5316', 'A5321', 'A5320', 'A5319', 'A5324', 'A5322', 'A5321', 'A5316', 'A5317', 'A5318', 'A5319']"
8,A3018,"['A3018', 'A5368', 'A5365', 'A5362', 'A5359', 'A5362', 'A5359', 'A5361', 'A5363', 'A5362', 'A5359', 'A5362', 'A5363', 'A5362', 'A5363', 'A5362', 'A5359', 'A5361', 'A5363', 'A5362', 'A5365', 'A5368', 'A5369', 'A5366', 'A5365', 'A5362', 'A5365', 'A5368', 'A5369', 'A5366', 'A5365', 'A5362', 'A5359', 'A5361', 'A5363', 'A5362', 'A5359', 'A5358', 'A5356', 'A5357', 'A5356', 'A5355', 'A5310', 'A5309', 'N-2924', 'A5309', 'A5293', 'A5294', 'A5295', 'A5296', 'A5297', 'A5298', 'A5299', 'N-0508', 'A5299', 'A5298', 'A5297', 'A5296', 'A5295', 'A5296', 'A5297', 'A5298', 'A5299', 'A5302', 'A5303', 'A5304', 'A5274', 'A5277', 'A5278', 'A5279', 'A5278', 'A5520', 'A5280', 'N-2923', 'N-0499', 'N-2923', 'N-2922', 'N-2923', 'A5280', 'N-0500', 'N-0501', 'A5281', 'A5283', 'A5281', 'A5282', 'A5284', 'A5285', 'A5284', 'A5286', 'A5287', 'A5288', 'A5289', 'A5290', 'A5291', 'A5292', 'A5293', 'A5309', 'A5310', 'A5346', 'A5311']"
9,A3018,"['A3018', 'A5368', 'A5365', 'A5362', 'A5359', 'A5358', 'A5359', 'A5362', 'A5365', 'A5362', 'A5363', 'A5362', 'A5365', 'A5366', 'A5369', 'A5368', 'A3018', 'A5368', 'A3018', 'A5368', 'A5365', 'A5366', 'A5369', 'A5368', 'A5365', 'A5368', 'A3018', 'A5368', 'A3018', 'A5368', 'A5365', 'A5368', 'A5369', 'A5366', 'A5365', 'A5362', 'A5363', 'A5361', 'A5363', 'A5362', 'A5359', 'A5358', 'A5356', 'A5357', 'A5356', 'A5355', 'A5310', 'A5309', 'N-2924', 'A5309', 'A5293', 'A5294', 'A5295', 'A5296', 'A5297', 'A5298', 'A5299', 'A5300', 'A5301', 'A5306', 'A5301', 'A5300', 'A5299', 'N-0508', 'A5299', 'A5298', 'A5297', 'A5296', 'A5295', 'A5294', 'A5292', 'A5291', 'A5292', 'A5293', 'A5309', 'A5310', 'A5346', 'A5311', 'A5346', 'AN-1868', 'A5350', 'A5352', 'A5350', 'AN-1868', 'A5346', 'A5347', 'A5348', 'A5347', 'A5349', 'A5307', 'A5305', 'A5709', 'A5262', 'N-0510', 'A5264', 'N-0511', 'A5265', 'A5252', 'A5250', 'A5249']"
