turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.3725490196078431,1.073345259391771,0.75,0.5,7,6
3,2.156862745098039,2.146690518783542,0.4444444444444444,0.5,11,12
4,2.941176470588235,2.862254025044723,0.36363636363636365,0.26666666666666666,15,16
5,3.3333333333333335,3.2200357781753133,0.15384615384615385,0.11764705882352941,17,18
6,4.117647058823529,3.9355992844364938,0.23529411764705882,0.2,21,22
7,4.705882352941177,4.47227191413238,0.17647058823529413,0.14285714285714285,24,25
8,5.294117647058823,5.008944543828265,0.15,0.13043478260869565,27,28
9,5.686274509803922,5.366726296958855,0.10526315789473684,0.08333333333333333,29,30
10,5.88235294117647,5.545617173524151,0.045454545454545456,0.038461538461538464,30,31
11,6.2745098039215685,5.903398926654741,0.09523809523809523,0.07407407407407407,32,33
12,6.862745098039216,6.440071556350627,0.125,0.10714285714285714,35,36
13,7.254901960784315,6.797853309481217,0.08333333333333333,0.06666666666666667,37,38
14,7.647058823529412,7.155635062611807,0.07407407407407407,0.06666666666666667,39,40
15,8.03921568627451,7.5134168157423975,0.07407407407407407,0.0625,41,42
16,8.431372549019608,8.050089445438283,0.06666666666666667,0.09375,43,45
17,9.215686274509805,8.765652951699463,0.13333333333333333,0.1111111111111111,47,49
18,10.0,9.481216457960643,0.12121212121212122,0.1111111111111111,51,53
19,10.784313725490197,10.196779964221825,0.12903225806451613,0.10526315789473684,55,57
20,11.372549019607844,10.73345259391771,0.09090909090909091,0.07894736842105263,58,60
21,12.352941176470589,11.627906976744185,0.15151515151515152,0.13157894736842105,63,65
22,13.529411764705882,12.880143112701253,0.17647058823529413,0.18421052631578946,69,72
23,14.117647058823529,13.416815742397137,0.09375,0.07692307692307693,72,75
24,14.901960784313726,14.311270125223613,0.1111111111111111,0.125,76,80
25,16.274509803921568,15.56350626118068,0.1891891891891892,0.17073170731707318,83,87
26,17.058823529411764,16.457960644007155,0.10810810810810811,0.12195121951219512,87,92
27,17.647058823529413,16.99463327370304,0.08333333333333333,0.06976744186046512,90,95
28,18.627450980392158,17.88908765652952,0.1282051282051282,0.11363636363636363,95,100
29,19.215686274509807,18.425760286225405,0.07894736842105263,0.06976744186046512,98,103
30,20.392156862745097,19.499105545617173,0.14285714285714285,0.13333333333333333,104,109
31,21.176470588235293,20.39355992844365,0.0975609756097561,0.1111111111111111,108,114
32,21.96078431372549,21.10912343470483,0.1,0.0851063829787234,112,118
33,23.137254901960784,22.182468694096602,0.13953488372093023,0.1276595744680851,118,124
34,24.11764705882353,23.076923076923077,0.12195121951219512,0.10638297872340426,123,129
35,24.901960784313726,24.15026833631485,0.1,0.13333333333333333,127,135
36,25.294117647058822,24.86583184257603,0.05,0.08888888888888889,129,139
37,26.078431372549023,25.581395348837212,0.1,0.08695652173913043,133,143
38,26.47058823529412,26.118067978533094,0.047619047619047616,0.06666666666666667,135,146
39,27.058823529411764,26.833631484794275,0.07317073170731707,0.08695652173913043,138,150
40,27.647058823529413,27.549194991055455,0.07317073170731707,0.09090909090909091,141,154
41,28.03921568627451,28.264758497316638,0.05,0.08888888888888889,143,158
42,28.627450980392155,28.80143112701252,0.07142857142857142,0.06818181818181818,146,161
43,29.01960784313726,29.159212880143116,0.05,0.044444444444444446,148,163
44,29.411764705882355,29.5169946332737,0.05,0.044444444444444446,150,165
45,30.19607843137255,30.23255813953488,0.0975609756097561,0.09090909090909091,154,169
46,30.392156862745097,30.590339892665476,0.024390243902439025,0.045454545454545456,155,171
47,30.784313725490197,30.94812164579606,0.05128205128205128,0.046511627906976744,157,173
48,31.372549019607842,31.48479427549195,0.07317073170731707,0.06818181818181818,160,176
49,31.56862745098039,31.663685152057248,0.02631578947368421,0.023255813953488372,161,177
50,31.960784313725487,32.200357781753134,0.04878048780487805,0.06976744186046512,163,180
51,32.35294117647059,32.55813953488372,0.05263157894736842,0.046511627906976744,165,182
52,32.745098039215684,32.91592128801431,0.047619047619047616,0.046511627906976744,167,184
53,33.13725490196078,33.273703041144906,0.05263157894736842,0.047619047619047616,169,186
54,33.92156862745098,33.98926654740608,0.0975609756097561,0.09090909090909091,173,190
55,34.509803921568626,34.52593917710197,0.07692307692307693,0.06976744186046512,176,193
56,34.90196078431372,34.883720930232556,0.05128205128205128,0.046511627906976744,178,195
57,35.490196078431374,35.42039355992844,0.07894736842105263,0.07317073170731707,181,198
58,36.07843137254902,35.95706618962433,0.07692307692307693,0.07317073170731707,184,201
59,36.470588235294116,36.314847942754916,0.05128205128205128,0.04878048780487805,186,203
60,36.86274509803922,36.67262969588551,0.05,0.047619047619047616,188,205
61,37.254901960784316,37.0304114490161,0.05128205128205128,0.047619047619047616,190,207
62,37.64705882352941,37.38819320214669,0.05128205128205128,0.046511627906976744,192,209
63,38.23529411764706,37.924865831842574,0.07692307692307693,0.07142857142857142,195,212
64,38.82352941176471,38.46153846153847,0.075,0.06976744186046512,198,215
65,39.6078431372549,39.17710196779964,0.10256410256410256,0.09523809523809523,202,219
66,40.19607843137255,39.71377459749553,0.07692307692307693,0.07142857142857142,205,222
67,40.588235294117645,40.07155635062612,0.05405405405405406,0.04878048780487805,207,224
68,40.98039215686274,40.429338103756706,0.05,0.047619047619047616,209,226
69,41.17647058823529,40.608228980322004,0.02564102564102564,0.024390243902439025,210,227
70,41.568627450980394,40.9660107334526,0.05128205128205128,0.047619047619047616,212,229
71,41.568627450980394,40.9660107334526,0.0,0.0,212,229
72,41.96078431372549,41.32379248658318,0.05,0.047619047619047616,214,231
73,42.745098039215684,42.039355992844364,0.10256410256410256,0.0975609756097561,218,235
74,43.529411764705884,42.75491949910555,0.10256410256410256,0.09523809523809523,222,239
75,43.92156862745098,43.29159212880143,0.05263157894736842,0.07317073170731707,224,242
76,44.31372549019608,43.64937388193202,0.05,0.047619047619047616,226,244
77,44.90196078431373,44.18604651162791,0.07692307692307693,0.07317073170731707,229,247
78,45.490196078431374,44.72271914132379,0.07692307692307693,0.07142857142857142,232,250
79,46.07843137254902,45.25939177101968,0.07894736842105263,0.07317073170731707,235,253
80,46.666666666666664,45.796064400715565,0.075,0.07142857142857142,238,256
81,47.25490196078431,46.332737030411444,0.07692307692307693,0.07317073170731707,241,259
82,47.647058823529406,46.69051878354204,0.05128205128205128,0.047619047619047616,243,261
83,48.23529411764706,47.227191413237925,0.07894736842105263,0.07317073170731707,246,264
84,49.01960784313725,47.9427549194991,0.1,0.09523809523809523,250,268
85,49.6078431372549,48.658318425760285,0.07692307692307693,0.0975609756097561,253,272
86,50.19607843137255,49.19499105545617,0.07692307692307693,0.07142857142857142,256,275
87,50.78431372549019,49.73166368515206,0.07894736842105263,0.07317073170731707,259,278
88,51.37254901960784,50.268336314847936,0.075,0.07142857142857142,262,281
89,51.76470588235295,50.80500894454383,0.05128205128205128,0.07317073170731707,264,284
90,51.9607843137255,50.98389982110913,0.02564102564102564,0.023809523809523808,265,285
91,52.156862745098046,51.162790697674424,0.02631578947368421,0.024390243902439025,266,286
92,52.54901960784314,51.52057245080501,0.05,0.047619047619047616,268,288
93,52.94117647058824,51.878354203935594,0.05128205128205128,0.04878048780487805,270,290
94,53.333333333333336,52.23613595706619,0.05128205128205128,0.047619047619047616,272,292
95,53.92156862745098,52.772808586762075,0.07894736842105263,0.07317073170731707,275,295
96,54.31372549019608,53.13059033989267,0.05,0.047619047619047616,277,297
97,54.70588235294118,53.48837209302325,0.05263157894736842,0.05,279,299
98,55.09803921568628,53.84615384615385,0.05128205128205128,0.047619047619047616,281,301
99,55.294117647058826,54.203935599284435,0.02631578947368421,0.04878048780487805,282,303
